model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
XGBoost+LightGBM+CatBoost,age,[40-50),1401,0.10278372591006424,0.28164705782877536,0.5,0.2236024844720497,0.21499999999999997
XGBoost+LightGBM+CatBoost,age,[50-60),2600,0.09192307692307693,0.22950531092084062,0.40585774058577406,0.22247706422018348,0.21499999999999997
XGBoost+LightGBM+CatBoost,age,[60-70),3405,0.11600587371512482,0.23976482358093393,0.41265822784810124,0.2260748959778086,0.21499999999999997
XGBoost+LightGBM+CatBoost,age,[70-80),3966,0.11699445284921836,0.21856777419264473,0.41810344827586204,0.1987704918032787,0.21499999999999997
XGBoost+LightGBM+CatBoost,age,[80-90),2544,0.11988993710691824,0.20336657615462359,0.38688524590163936,0.184375,0.21499999999999997
XGBoost+LightGBM+CatBoost,age,[90-100),416,0.12259615384615384,0.21273961460353294,0.39215686274509803,0.2127659574468085,0.21499999999999997
XGBoost+LightGBM+CatBoost,gender,Female,8168,0.11287952987267386,0.23595027712389494,0.44251626898047725,0.2217391304347826,0.21499999999999997
XGBoost+LightGBM+CatBoost,gender,Male,7096,0.11006200676437429,0.2305199457295023,0.4020486555697823,0.2038961038961039,0.21499999999999997
XGBoost+TabTransformer,age,[0-10),26,0.0,,0.0,0.0,0.4149999999999999
XGBoost+TabTransformer,age,[10-20),95,0.06315789473684211,0.21771845590631167,0.3333333333333333,0.3333333333333333,0.4149999999999999
XGBoost+TabTransformer,age,[20-30),248,0.1532258064516129,0.4708458350158063,0.7631578947368421,0.4027777777777778,0.4149999999999999
XGBoost+TabTransformer,age,[30-40),564,0.10815602836879433,0.24648944498239775,0.4262295081967213,0.25,0.4149999999999999
XGBoost+TabTransformer,age,[40-50),1401,0.10278372591006424,0.2666990681356932,0.4861111111111111,0.21875,0.4149999999999999
XGBoost+TabTransformer,age,[50-60),2600,0.09192307692307693,0.213817741295,0.3682008368200837,0.21307506053268765,0.4149999999999999
XGBoost+TabTransformer,age,[60-70),3405,0.11600587371512482,0.24569718322351597,0.3848101265822785,0.23348694316436253,0.4149999999999999
XGBoost+TabTransformer,age,[70-80),3966,0.11699445284921836,0.21767347245535756,0.40301724137931033,0.20572057205720573,0.4149999999999999
XGBoost+TabTransformer,age,[80-90),2544,0.11988993710691824,0.19700030794465723,0.35081967213114756,0.18804920913884007,0.4149999999999999
XGBoost+TabTransformer,age,[90-100),416,0.12259615384615384,0.19212615295826788,0.27450980392156865,0.2,0.4149999999999999
XGBoost+TabTransformer,gender,Female,8168,0.11287952987267386,0.2351574550401598,0.420824295010846,0.22850412249705537,0.4149999999999999
XGBoost+TabTransformer,gender,Male,7096,0.11006200676437429,0.22184462080254153,0.3674775928297055,0.20268361581920905,0.4149999999999999
XGBoost+TabM,age,[0-10),26,0.0,,0.0,0.0,0.4099999999999999
XGBoost+TabM,age,[10-20),95,0.06315789473684211,0.20041476100798133,0.3333333333333333,0.2857142857142857,0.4099999999999999
XGBoost+TabM,age,[20-30),248,0.1532258064516129,0.4751245881126021,0.7631578947368421,0.3972602739726027,0.4099999999999999
XGBoost+TabM,age,[30-40),564,0.10815602836879433,0.24907054991917288,0.4262295081967213,0.2524271844660194,0.4099999999999999
XGBoost+TabM,age,[40-50),1401,0.10278372591006424,0.2761723236823289,0.4930555555555556,0.21712538226299694,0.4099999999999999
XGBoost+TabM,age,[50-60),2600,0.09192307692307693,0.22152359997913823,0.3807531380753138,0.2161520190023753,0.4099999999999999
XGBoost+TabM,age,[60-70),3405,0.11600587371512482,0.2455656618626338,0.39746835443037976,0.23397913561847988,0.4099999999999999
XGBoost+TabM,age,[70-80),3966,0.11699445284921836,0.2164274259056601,0.4051724137931034,0.20434782608695654,0.4099999999999999
XGBoost+TabM,age,[80-90),2544,0.11988993710691824,0.19703675707813226,0.380327868852459,0.18739903069466882,0.4099999999999999
